Filename,Dist.(m),East(�),North(�),Target Pic,Target P_1,Name,Target P_2,layer,path,Nummer,Rechtswert,Hochwert,Tiefe [m]
RUESTERSIEL 2024_030 P_3.DZT,77.079999999999998,443846.052615199994761,5935266.398558700457215,Rebar_001,"151.85",,,Stoerkoerper Georadar Array 2,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar Array 2.shp|layername=Stoerkoerper Georadar Array 2,"1.045",443846.053,5935266.399,1.5
WILHECT001__005 P_1.DZT,15.835000000000001,443843.615525099972729,5935250.398537700064480,Kat. 1,"1.515",,,Stoerkoerper Georadar HW 1 WILHECT001 P_1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHELCT001 P_1.shp|layername=Stoerkoerper Georadar HW 1 WILHELCT001,"1.001",443843.616,5935250.399,1.5
WILHECT001__006 P_1.DZT,0.120000000000000,443824.960048999928404,5935239.567311099730432,Kat. 1,"1.54",,,Stoerkoerper Georadar HW 1 WILHECT001 P_1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHELCT001 P_1.shp|layername=Stoerkoerper Georadar HW 1 WILHELCT001,"1.002",443824.960,5935239.567,1.5
WILHECT001__009 P_1.DZT,15.730000000000000,443846.085781599918846,5935249.703699899837375,Kat. 1,"2.095",,,Stoerkoerper Georadar HW 1 WILHECT001 P_1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHELCT001 P_1.shp|layername=Stoerkoerper Georadar HW 1 WILHELCT001,"1.003",443846.086,5935249.704,2.1
WILHECT001__009 P_1.DZT,9.895000000000000,443850.266554999980144,5935253.964599800296128,Kat. 1,"2.076",,,Stoerkoerper Georadar HW 1 WILHECT001 P_1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHELCT001 P_1.shp|layername=Stoerkoerper Georadar HW 1 WILHELCT001,"1.004",443850.267,5935253.965,2.1
WILHECT001__010 P_1.DZT,10.286000000000000,443835.616311700025108,5935241.319616200402379,Kat. 1,"1.76",,,Stoerkoerper Georadar HW 1 WILHECT001 P_1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHELCT001 P_1.shp|layername=Stoerkoerper Georadar HW 1 WILHELCT001,"1.005",443835.616,5935241.320,1.8
WILHECT001__010 P_1.DZT,20.353999999999999,443843.869837799982633,5935246.912772599607706,Kat. 1,"2.258",,,Stoerkoerper Georadar HW 1 WILHECT001 P_1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHELCT001 P_1.shp|layername=Stoerkoerper Georadar HW 1 WILHELCT001,"1.006",443843.870,5935246.913,2.3
WILHECT001__016 P_1.DZT,11.917999999999999,443685.513017799996305,5935228.344350899569690,Kat. 1,"1.362",,,Stoerkoerper Georadar HW 1 WILHECT001 P_1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHELCT001 P_1.shp|layername=Stoerkoerper Georadar HW 1 WILHELCT001,"1.007",443685.513,5935228.344,1.4
WILHECT001__017 P_1.DZT,0.767000000000000,443847.194183000014164,5935276.264081300236285,Kat. 1,"1.478",,,Stoerkoerper Georadar HW 1 WILHECT001 P_1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHELCT001 P_1.shp|layername=Stoerkoerper Georadar HW 1 WILHELCT001,"1.008",443847.194,5935276.264,1.5
WILHECT001__035 P_1.DZT,77.769000000000005,443846.969708100019488,5935274.437336401082575,Kat. 1,"1.146",,,Stoerkoerper Georadar HW 1 WILHECT001 P_1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHELCT001 P_1.shp|layername=Stoerkoerper Georadar HW 1 WILHELCT001,"1.009",443846.970,5935274.437,1.1
WILHECT001__037 P_1.DZT,14.962999999999999,443859.466407199972309,5935278.320416199974716,Kat. 1,"1.719",,,Stoerkoerper Georadar HW 1 WILHECT001 P_1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHELCT001 P_1.shp|layername=Stoerkoerper Georadar HW 1 WILHELCT001,"1.010",443859.466,5935278.320,1.7
WILHECT001__038 P_1.DZT,5.699000000000000,443859.310536100005265,5935275.143657399341464,Kat. 1,"2.593",,,Stoerkoerper Georadar HW 1 WILHECT001 P_1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHELCT001 P_1.shp|layername=Stoerkoerper Georadar HW 1 WILHELCT001,"1.011",443859.311,5935275.144,2.6
WILHECT001__052 P_1.DZT,4.872000000000000,443674.702809899987187,5935229.895610200241208,Kat. 1,"1.847",,,Stoerkoerper Georadar HW 1 WILHECT001 P_1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHELCT001 P_1.shp|layername=Stoerkoerper Georadar HW 1 WILHELCT001,"1.012",443674.703,5935229.896,1.8
WILHECT001__052 P_1.DZT,15.489000000000001,443683.812679999973625,5935235.608487499877810,Kat. 1,"1.007",,,Stoerkoerper Georadar HW 1 WILHECT001 P_1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHELCT001 P_1.shp|layername=Stoerkoerper Georadar HW 1 WILHELCT001,"1.013",443683.813,5935235.608,1.0
WILHECT001__053 P_1.DZT,19.646999999999998,443681.722212199994829,5935233.633293500170112,Kat. 1,"1.945",,,Stoerkoerper Georadar HW 1 WILHECT001 P_1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHELCT001 P_1.shp|layername=Stoerkoerper Georadar HW 1 WILHELCT001,"1.014",443681.722,5935233.633,1.9
WILHECT001__053 P_1.DZT,20.879999999999999,443680.664552000002004,5935233.009526300244033,Kat. 1,"1.277",,,Stoerkoerper Georadar HW 1 WILHECT001 P_1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHELCT001 P_1.shp|layername=Stoerkoerper Georadar HW 1 WILHELCT001,"1.015",443680.665,5935233.010,1.3
WILHECT001__054 P_1.DZT,21.602000000000000,443698.382780399988405,5935241.184538000263274,Kat. 1,"2.339",,,Stoerkoerper Georadar HW 1 WILHECT001 P_1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHELCT001 P_1.shp|layername=Stoerkoerper Georadar HW 1 WILHELCT001,"1.016",443698.383,5935241.185,2.3
WILHEL0907__002 P_1.DZT,138.936000000000007,443831.127812599996105,5935257.567673100158572,Kat. 1,"1.205",,,Stoerkoerper Georadar HW 1 WILHEL0907 P_1_2-60,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHEL0907 P_1_2-60.shp|layername=Stoerkoerper Georadar HW 1 WILHEL09,"1.017",443831.128,5935257.568,1.2
WILHEL0907__003 P_1.DZT,22.361999999999998,443833.037213500007056,5935258.251342800445855,Kat. 1,"1.337",,,Stoerkoerper Georadar HW 1 WILHEL0907 P_1_2-60,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHEL0907 P_1_2-60.shp|layername=Stoerkoerper Georadar HW 1 WILHEL09,"1.018",443833.037,5935258.251,1.3
WILHEL0907__005 P_1.DZT,0.910000000000000,443700.351299699977972,5935239.371775000356138,Kat. 1,"2.414",,,Stoerkoerper Georadar HW 1 WILHEL0907 P_1_2-60,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHEL0907 P_1_2-60.shp|layername=Stoerkoerper Georadar HW 1 WILHEL09,"1.019",443700.351,5935239.372,2.4
WILHEL0907__040 P_1.DZT,2.752000000000000,443884.486691700003576,5935248.883744600228965,Kat. 1,"1.067",,,Stoerkoerper Georadar HW 1 WILHEL0907 P_1_2-60,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 1 WILHEL0907 P_1_2-60.shp|layername=Stoerkoerper Georadar HW 1 WILHEL09,"1.020",443884.487,5935248.884,1.1
WILHEL0907__117 P_1.DZT,24.324000000000002,443645.057086699991487,5935135.724522500298917,Kat. 1,"2.046",,,Stoerkoerper Georadar HW 2,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 2.shp|layername=Stoerkoerper Georadar HW 2,"1.021",443645.057,5935135.725,2.0
WILHEL0907__118 P_1.DZT,9.023000000000000,443648.215588700026274,5935136.383420200087130,Kat. 1,"2.013",,,Stoerkoerper Georadar HW 2,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 2.shp|layername=Stoerkoerper Georadar HW 2,"1.022",443648.216,5935136.383,2.0
WILHEL0907__118 P_1.DZT,7.083000000000000,443646.483116500021424,5935135.641749800182879,Kat. 1,"2.139",,,Stoerkoerper Georadar HW 2,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 2.shp|layername=Stoerkoerper Georadar HW 2,"1.023",443646.483,5935135.642,2.1
WILHEL0907__137 P_1.DZT,2.233000000000000,443642.066932499990799,5935130.869936699979007,Kat. 1,"1.778",,,Stoerkoerper Georadar HW 2,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 2.shp|layername=Stoerkoerper Georadar HW 2,"1.024",443642.067,5935130.870,1.8
WILHEL0907__138 P_1.DZT,8.887000000000000,443658.476172499998938,5935136.871310500428081,Kat. 1,"1.696",,,Stoerkoerper Georadar HW 2,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 2.shp|layername=Stoerkoerper Georadar HW 2,"1.025",443658.476,5935136.871,1.7
WILHEL0907__140 P_1.DZT,1.504000000000000,443665.637377100007143,5935138.291339499875903,Kat. 1,"2.26",,,Stoerkoerper Georadar HW 2,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 2.shp|layername=Stoerkoerper Georadar HW 2,"1.026",443665.637,5935138.291,2.3
WILHEL0907__140 P_1.DZT,9.414000000000000,443658.587585300032515,5935135.593053899705410,Kat. 1,"1.58",,,Stoerkoerper Georadar HW 2,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 2.shp|layername=Stoerkoerper Georadar HW 2,"1.027",443658.588,5935135.593,1.6
WILHEL0907__117 P_1.DZT,8.737000000000000,443656.563116999983322,5935145.115562199614942,Kat. 1,"0.746",,,Stoerkoerper Georadar HW 2,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 2.shp|layername=Stoerkoerper Georadar HW 2,"1.028",443656.563,5935145.116,0.7
WILHEL0907__133 P_1.DZT,18.346000000000000,443648.886999699985608,5935135.884691299870610,Kat. 1,"0.431",,,Stoerkoerper Georadar HW 2,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 2.shp|layername=Stoerkoerper Georadar HW 2,"1.029",443648.887,5935135.885,0.4
WILHEL0907__135 P_1.DZT,4.361000000000000,443661.918724199989811,5935139.705813100561500,Kat. 1,"0.358",,,Stoerkoerper Georadar HW 2,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 2.shp|layername=Stoerkoerper Georadar HW 2,"1.030",443661.919,5935139.706,0.4
WILIE2407__101 P_111.DZT,,443638.886121999996249,5935650.244285300374031,Kat. 1,"248045",,0.242000000000000,Stoerkoerper Georadar HW 3 24_07,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar HW 3 24_07.shp|layername=Stoerkoerper Georadar HW 3 24_07,"1.031",443638.886,5935650.244,0.2
